title,description
VATT1A1,Vehicle and Traffic                    Article  1. Words and phrases defined.   Section 100.     Definition of words and phrases.          100-a.   Access highway.          100-b.   Ambulance.          100-c.   Articulated bus.          100-d.   Agricultural equipment.          101.     Authorized emergency vehicle.          101-a.   Automobile transporter.          101-b.   Boat transporter.          101-c.   B-train assembly.          102.     Bicycle.          102-a.   Bicycle lane.          102-b.   Bicycle path.          103.     Bureau.          104.     Bus.          105.     Business district.          105-a.   Car carrier.          105-b.   Certificate of registration.          106.     Circulatory roadway.          106-a.   Civil defense emergency vehicle.          107.     Classes of cities.          107-b.   Commercial towing.          108.     Commissioner.          109.     Controlled-access highway.          109-a.   Correction vehicle.          109-b.   County emergency medical services vehicle.          109-c.   Conviction.          110.     Crosswalk.          111.     Curb.          112.     Department.          112-a.   Department of transportation.          113.     Driver.          114.     Driveway.          114-a.   Drug.          114-b.   Emergency operation.          114-c.   Escort vehicle.          114-d.   Electric personal assistive mobility device.          115.     Explosives.          115-a.   Fire vehicle.          115-b.   Flagperson.          115-c.   Emergency ambulance service vehicle.          115-d.   Environmental emergency response vehicle.          116.     Flammable liquid.          117.     Gross weight.          117-a.   Hazard vehicle.          117-b.   Hazardous operation.          117-c.   Hazardous materials emergency vehicle.          117-d.   Blood delivery vehicle.          118.     Highway.          119.     House coach.          119-a.   Ignition interlock device.          119-b.   Inflatable restraint system.          120.     Intersection.          121.     Laned roadway.          121-a.   Limited use automobile.          121-b.   Limited use motorcycle.          121-c.   Limited use vehicle.          121-d.   Leased vehicle.          121-e.   Livery.          121-f.   Low speed vehicle.          122.     Local authorities.          122-a.   Maximum gross weight.          122-b.   Maximum performance speed.          122-c.   Mobile home or manufactured home.          123.     Motorcycle.          125.     Motor vehicles.          125-a.   Off-highway motorcycle.          126.     Omnibus.          127.     Overhang.          128.     Owner.          129.     Park or parking.          129-a.   Parking area of a shopping center.          129-b.   Parking lot.          130.     Pedestrian.          130-a.   Wheelchair.          131.     Person.          131-a.   Place of public assembly.          132.     Police officer.          132-a.   Police vehicle.          133.     Private road.          134.     Public highway.          134-a.   Qualifying highway.          134-b.   Radar detector.          134-c.   Laser detector.          135.     Railroad.          136.     Railroad sign or signal.          137.     Railroad train.          137-a.   Rental vehicle.          138.     Residence district.          139.     Right of way.          140.     Roadway.          140-a.   In-line skate.          140-b.   Roller skate.          140-c.   Skate board.          140-d.   Roundabout.          141.     Safety zone.          141-a.   Sanitation patrol vehicle.          141-a*2. Sani-vans.          142.     School bus.          143.     Semitrailer.          143-a.   Shoulder.          144.     Sidewalk.          144-a.   Slope.          144-b.   Snow emergency.          145.     Stand or standing.          145-a.   State expressway routes.          145-b.   State interstate routes.          145-c.   Snow emergency route.          145-d.   Definition of snow tire.          145-e.   Stinger-steered automobile transporter.          145-f.   Stinger-steered boat transporter.          146.     Stop.          147.     Stop or stopping.          148.     Street.          148-a.   Taxicab.          148-b.   Tow truck.          149.     Through highway.          151-a.   Tractor.          152.     Traffic.          153.     Traffic control devices.          154.     Traffic-control signal.          155.     Traffic infraction.          156.     Trailer.          157.     Trolley bus or trolley coach.          158.     Truck.          158-a.   U turn.          158-b.   Vanpool vehicle.          159.     Vehicle.          160.     Wheel lift.          161.     Work area.
VAT100,"Vehicle and Traffic      100. Definition  of  words  and  phrases.  The  following  words and  phrases when used in  this  chapter  shall,  for  the  purpose  of  this  chapter, have the meanings respectively ascribed to them in this article  except  where  another definition is specifically provided in any title,  article or section for application in such title, article or section:"
VAT100-A,"Vehicle and Traffic      100-a. Access  highway.  Any  highway  providing  access  between  a  qualifying highway, as defined in section one hundred  thirty-four-a  of  this  article,  and  terminals,  facilities for food, fuel, repairs, and  rest and, in addition, for points of loading and unloading for household  goods carriers as such highways are designated by  the  commissioner  of  transportation  pursuant to section sixteen hundred twenty-seven of this  chapter."
VAT100-B,"Vehicle and Traffic      100-b. Ambulance.    Every  motor  vehicle  designed,  appropriately  equipped and used for the purpose of carrying sick or injured persons by  a person or entity registered or certified as an  ambulance  service  by  the department of health."
VAT100-C,Vehicle and Traffic      100-c. Articulated  bus.  A  two  unit  bus with a flexible coupling  connection between the units.
VAT100-D,"Vehicle and Traffic        100-d.   Agricultural   equipment.   Every  agricultural  tractor,  self-propelled  implement  of   husbandry,   and   towed,   mounted   or  semi-mounted implement of husbandry. ""Implement of husbandry"" shall mean  a   vehicle   designed   or   adapted   exclusively   for  agricultural,  horticultural or livestock raising operations or for lifting or carrying  an implement of husbandry."
VAT101,"Vehicle and Traffic       101.  Authorized emergency vehicle. Every ambulance, police vehicle  or bicycle, correction vehicle, fire vehicle,  civil  defense  emergency  vehicle,  emergency  ambulance  service vehicle, blood delivery vehicle,  county  emergency  medical  services  vehicle,  environmental  emergency  response   vehicle,   sanitation  patrol  vehicle,  hazardous  materials  emergency vehicle and ordnance disposal vehicle of the armed  forces  of  the United States."
VAT101-A,Vehicle and Traffic      101-a. Automobile  transporter. Any vehicle combination designed and  used specifically for the  transport  of  assembled  (capable  of  being  driven) motor vehicles.
VAT101-B,Vehicle and Traffic       101-b.  Boat transporter. Any vehicle combination designed and used  specifically for the transport of boats.
VAT101-C,"Vehicle and Traffic       101-c.  B-train  assembly.  A rigid frame extension attached to the  rear     frame     of     the     first      semitrailer,      in      a  tractor-semitrailer-semitrailer  combination  of  vehicles, which allows  for a fifth wheel connection point for the second semitrailer."
VAT102,"Vehicle and Traffic      102. Bicycle.  Every two or three wheeled device upon which a person  or persons may ride, propelled by human power through a belt, a chain or  gears, with such wheels in a tandem or tricycle, except  that  it  shall  not  include  such a device having solid tires and intended for use only  on a sidewalk by pre-teenage children."
VAT102-A,"Vehicle and Traffic      102-a. Bicycle  lane.  A  portion  of  the  roadway  which  has been  designated  by  striping,  signing  and  pavement   markings   for   the  preferential or exclusive use of bicycles."
VAT102-B,Vehicle and Traffic      102-b. Bicycle  path.  A  path  physically  separated from motorized  vehicle traffic by an open  space  or  barrier  and  either  within  the  highway  right-of-way or within an independent right-of-way and which is  intended for the use of bicycles.
VAT103,Vehicle and Traffic      103. Bureau.   The department of motor vehicles of this state acting  directly or through its duly authorized officers and agents.
VAT104,Vehicle and Traffic      104. Bus.  Every  motor vehicle having a seating capacity of fifteen  or  more  passengers  in  addition  to  the  driver  and  used  for  the  transportation of persons.
VAT105,"Vehicle and Traffic      105. Business district.  The territory contiguous to and including a  highway  when  within  any six hundred feet along such highway there are  buildings in use for business or industrial purposes, including but  not  limited  to  hotels,  banks, or office buildings, railroad stations, and  public buildings, which occupy at least three hundred feet  of  frontage  on  one  side  or  three  hundred feet collectively on both sides of the  highway."
VAT105-A,"Vehicle and Traffic       105-a.  Car carrier. A truck that is designed to carry one to three  motor vehicles on a flat platform that slides or tilts to the ground  to  facilitate  loading  and  unloading of such motor vehicles and to tow an  additional motor vehicle behind it by the use of a wheel lift.  For  the  purposes  of  this  chapter, whenever such car carrier tows or carries a  disabled, illegally parked or abandoned motor vehicle or a motor vehicle  involved in an accident, such car carrier shall be deemed to  be  a  tow  truck  and  shall  comply  with  all provisions of this chapter, and any  other law, ordinance, order, rule  and  regulation,  applicable  to  tow  trucks."
VAT105-B,"Vehicle and Traffic      105-b. Certificate of registration. Any document or other indicia of  registration, other than number plates or tags required to be affixed to  such  number  plates  or  to  the  vehicle  itself,  in  a form and name  prescribed by the commissioner, which identifies the  vehicle  described  thereon  and  indicates  that such vehicle is registered pursuant to the  provisions of this chapter."
VAT106,Vehicle and Traffic      106. Circulatory roadway. The roadway within a circular intersection  on  which  traffic  travels  in  a  counterclockwise  direction around a  central island.
VAT106-A,"Vehicle and Traffic      106-a. Civil defense emergency vehicle. Every communications vehicle  and  rescue  vehicle owned by the state, a county, town, city or village  and operated for civil defense purposes and equipped  and  marked  as  a  civil  defense  emergency communications or rescue vehicle in compliance  with the rules and regulations of the state civil defense commission."
VAT107,"Vehicle and Traffic      107. Classes  of  cities. (a) City of the first class. A city with a  population of one hundred seventy-five thousand or more.    (b) City of the second class.  A  city  with  a  population  of  fifty  thousand and less than one hundred seventy-five thousand.    (c)  City  of  the third class. Any city not included in the foregoing  classes.    (d) The classification herein made shall be determined by the  federal  census  or state enumeration, whichever is the later, as last previously  taken before the effective date of this chapter."
VAT107-B,"Vehicle and Traffic      107-b. Commercial  towing.  The  moving  or  removing  of  disabled,  illegally parked, or abandoned motor vehicles or motor vehicles involved  in accidents, by another motor vehicle, for which  there  is  direct  or  indirect  compensation. Commercial towing shall also include towing by a  person, firm, corporation, or other entity pursuant  to  a  contract  or  other agreement with a political subdivision."
VAT108,Vehicle and Traffic      108. Commissioner.    The  commissioner  of  motor  vehicles of this  state.
VAT109,"Vehicle and Traffic      109. Controlled-access  highway.   Every highway, street, or roadway  in respect to which owners or occupants  of  abutting  lands  and  other  persons have no legal right of access to or from the same except at such  points  only  and  in  such  manner  as  may be determined by the public  authority having jurisdiction over such highway, street, or roadway."
VAT109-A,Vehicle and Traffic      109-a. Correction vehicle. Every vehicle operated in the city of New  York by the New York city department of correction or the New York state  department  of corrections and community supervision while engaged in an  emergency operation.
VAT109-B,"Vehicle and Traffic       109-b.  County  emergency  medical  services vehicle. Every vehicle  operated by a county emergency medical services  coordinator  or  deputy  county  emergency medical services coordinator appointed pursuant to the  provisions of section two hundred twenty-three-b of the county law, when  operated  in  an  official  capacity  while  engaged  in  an   emergency  operation."
VAT109-C,"Vehicle and Traffic      109-c. Conviction. Any conviction as defined in subdivision thirteen  of  section 1.20 of the criminal procedure law; provided, however, where  a conviction or administrative finding in this state  or  another  state  results  in  a mandatory sanction against a commercial driver's license,  as set forth in sections five hundred ten, five  hundred  ten-a,  eleven  hundred  ninety-two  and  eleven  hundred  ninety-four  of this chapter,  conviction shall also mean an unvacated  adjudication  of  guilt,  or  a  determination  that  a  person has violated or failed to comply with the  law  in  a  court  of  original  jurisdiction  or   by   an   authorized  administrative  tribunal,  an unvacated forfeiture of bail or collateral  deposited to secure the person's appearance in court, a plea  of  guilty  or nolo contendere accepted by the court, the payment of a fine or court  cost, or violation of a condition of release without bail, regardless of  whether or not the penalty is rebated, suspended, or probated."
VAT110,"Vehicle and Traffic      110. Crosswalk.    (a)  That  part  of  a roadway at an intersection  included within the connections of the lateral lines of the sidewalks on  opposite sides of the highway between the curbs or, in  the  absence  of  curbs, between the edges of the traversable roadway.    (b)  Any  portion  of  a  roadway  at  an  intersection  or  elsewhere  distinctly indicated for pedestrian crossing by lines or other  markings  on the surface."
VAT111,Vehicle and Traffic      111. Curb.  A vertical or sloping member along the edge of a roadway  clearly defining the pavement edge.
VAT112,Vehicle and Traffic      112. Department.    The  department  of motor vehicles of this state  acting directly or through its duly authorized officers and agents.
VAT112-A,Vehicle and Traffic      112-a. Department    of   transportation.      The   department   of  transportation of  this  state  acting  directly  or  through  its  duly  authorized officers and agents.
VAT113,"Vehicle and Traffic      113. Driver.    Every  person who operates or drives or is in actual  physical control of a  vehicle.    Whenever  the  terms  ""chauffeur""  or  ""operator""  or ""chauffeur's license"" or ""operator's license"" are used in  this chapter, such terms shall be deemed to  mean  driver  and  driver's  license respectively."
VAT114,Vehicle and Traffic      114. Driveway.   Every entrance or exit used by vehicular traffic to  or from lands or buildings abutting a highway.
VAT114-A,"Vehicle and Traffic      114-a. Drug.  The  term  ""drug"" when used in this chapter, means and  includes any substance listed in section thirty-three hundred six of the  public health law."
VAT114-B,"Vehicle and Traffic       114-b.  Emergency  operation.  The  operation,  or  parking,  of an  authorized  emergency  vehicle,  when  such  vehicle   is   engaged   in  transporting   a   sick   or  injured  person,  transporting  prisoners,  delivering blood or blood products in a situation involving an  imminent  health  risk,  pursuing  an  actual or suspected violator of the law, or  responding to, or working or assisting at  the  scene  of  an  accident,  disaster,  police  call,  alarm  of fire, actual or potential release of  hazardous materials or other emergency.  Emergency operation  shall  not  include returning from such service."
VAT114-C,"Vehicle and Traffic      114-c. Escort  vehicle. A motor vehicle which operates under its own  power and which precedes or follows a vehicle or combination of vehicles  that has been issued a special  hauling  permit  by  the  department  of  transportation,  a  municipality or public authority pursuant to section  three hundred eighty-five of this chapter."
VAT114-D,"Vehicle and Traffic        114-d.   Electric   personal   assistive  mobility  device.  Every  self-balancing, two non-tandem wheeled device designed to transport  one  person  by means of an electric propulsion system with an average output  of not more than seven hundred fifty watts  (one  horsepower),  and  the  maximum  speed  of which on a paved level surface, when propelled solely  by its electric propulsion system while ridden by an  operator  weighing  one  hundred  seventy pounds, is less than twelve and one-half miles per  hour."
VAT115,"Vehicle and Traffic      115. Explosives.    Any chemical compound or mechanical mixture that  is commonly used or intended for the purpose of producing  an  explosion  and   which  contains  any  oxidizing  and  combustive  units  or  other  ingredients in such proportions, quantities, or packing that an ignition  by fire, by friction, by concussion, by percussion, or by  detonator  of  any  part  of the compound or mixture may cause such a sudden generation  of highly heated gases that the resultant gaseous pressures are  capable  of  producing destructive effects on contiguous objects or of destroying  life or limb."
VAT115-A,"Vehicle and Traffic      115-a. Fire   vehicle.  Every  vehicle  operated  for  fire  service  purposes owned and identified as being owned  by  the  state,  a  public  authority,  a  county,  town,  city, village or fire district, or a fire  corporation subject to the provisions  of  subdivision  (e)  of  section  fourteen  hundred  two  of  the not-for-profit corporation law or a fire  company as defined in section one hundred of the general municipal  law.  Any  of  the  following  vehicles  shall  be  fire vehicles only for the  purpose of section one  hundred  one  of  this  chapter:  1.  a  vehicle  operated by officials of the office of fire prevention and control,    2.  a  vehicle  ordinarily operated by a chief or assistant chief of a  fire department, or a county  or  deputy  county  fire  coordinator,  or  county or assistant county fire marshall, or town or assistant town fire  coordinator, or such vehicle when operated in an official capacity by or  under the direction of such person, and    3. a vehicle specially designed and equipped for firefighting purposes  which is regularly used for firefighting purposes by a firefighting unit  on  property  used  for industrial, institutional or commercial purposes  and which vehicle is owned by the owner or lessee of such property."
VAT115-B,"Vehicle and Traffic      115-b. Flagperson.  The term ""flagperson,"" when used in this chapter  means and includes:    1. Any person employed by or on behalf of the state, a  county,  city,  town  or  village,  a  public  authority, a local authority, or a public  utility company, or the agent or contractor of any such entity, who  has  been  assigned  to  control  or  direct  traffic  on  public highways in  connection with any construction, survey, and/or maintenance work  being  performed.    2.  Any  person employed by or on behalf of a railroad corporation who  has been assigned to control or  direct  traffic  at  a  railroad  grade  crossing.    3.  Any person holding a certificate issued by the commissioner, which  authorizes such person to operate an escort vehicle, and  who  has  been  assigned  to  control,  warn,  or  direct traffic in connection with the  movement of an escort vehicle on a public highway."
VAT115-C,Vehicle and Traffic      115-c. Emergency  ambulance  service vehicle. An emergency ambulance  service vehicle shall be defined  as  an  appropriately  equipped  motor  vehicle  owned or operated by an ambulance service as defined in section  three thousand one of the public health law and used for the purpose  of  transporting  emergency  medical  personnel  and  equipment  to  sick or  injured persons.
VAT115-D,"Vehicle and Traffic      115-d. Environmental  emergency  response  vehicle. Every designated  vehicle operated by an agency of the state or  a  political  subdivision  thereof,  charged  with the responsibility for environmental protection,  while engaged in a response to a report of an emergency  resulting  from  an  actual or potential release, spill or leak of, or other exposure to,  hazardous substances."
VAT116,"Vehicle and Traffic      116. Flammable liquid.  Any liquid which has a flash point of eighty  degrees  Fahrenheit, or less, as determined by a tagliabue or equivalent  open-cup test device."
VAT117,Vehicle and Traffic      117. Gross  weight.    The weight of a vehicle without load plus the  weight of any load thereon.
VAT117-A,"Vehicle and Traffic      117-a. Hazard  vehicle.   Every vehicle owned and operated or leased  by a utility, whether public  or  private,  used  in  the  construction,  maintenance  and  repair  of  its  facilities,  every  vehicle specially  equipped or designed for the towing or  pushing  of  disabled  vehicles,  every vehicle engaged in highway maintenance, or in ice and snow removal  where  such  operation involves the use of a public highway and vehicles  driven by rural letter  carriers  while  in  the  performance  of  their  official duties."
VAT117-B,"Vehicle and Traffic      117-b. Hazardous operation.  The operation, or parking, of a vehicle  on  or  immediately  adjacent  to a public highway while such vehicle is  actually engaged  in  an  operation  which  would  restrict,  impede  or  interfere with the normal flow of traffic."
VAT117-C,"Vehicle and Traffic      117-c. Hazardous   materials  emergency  vehicle.  Every  designated  vehicle operated  by  a  hazardous  materials  emergency  response  team  created  pursuant to section two hundred nine-y of the general municipal  law specifically equipped  for  and  used  in  response  to  reports  of  emergencies resulting from actual or potential releases, spills or leaks  of, or other exposure to hazardous substances."
VAT117-D,"Vehicle and Traffic       117-d.  Blood delivery vehicle. Every vehicle owned, designated and  operated by the not-for-profit corporation incorporated under  the  name  New  York blood center specifically equipped for and used in response to  reports of the need for transportation of blood  or  blood  products  to  general  hospitals  or  other health care facilities.  No blood delivery  vehicle shall be operated as an authorized emergency vehicle engaged  in  an  emergency  operation unless the driver of such vehicle has undergone  appropriate training for the operation of authorized emergency  vehicles  during emergency operations."
VAT118,Vehicle and Traffic      118. Highway.   The entire width between the boundary lines of every  way publicly maintained when any part thereof is open to the use of  the  public for purposes of vehicular travel.
VAT119,"Vehicle and Traffic      119. House  coach.    Any  vehicle  motivated  by  a power connected  therewith or propelled by a power within itself, which is or can be used  as the home or living abode or habitation of one or more persons, either  temporarily or permanently.  In the application of this chapter to house  coaches, a house coach propelled by  a  power  within  itself  shall  be  deemed  a  motor  vehicle,  a house coach motivated by a power connected  therewith shall be deemed a trailer, and  all  house  coaches  shall  be  deemed vehicles."
VAT119-A,"Vehicle and Traffic     *  119-a. Ignition  interlock device. Any blood alcohol concentration  equivalence measuring device which connects to a motor vehicle  ignition  system  and  prevents  a  motor vehicle from being started without first  determining through a  deep  lung  breath  sample  that  the  operator's  equivalent  breath  alcohol level does not exceed the calibrated setting  on the device as required by section eleven hundred ninety-eight of this  chapter.    * NB Repealed September 1, 2015"
VAT119-B,"Vehicle and Traffic      119-b. Inflatable  restraint  system.    1.  An inflatable restraint  system means an air bag, as defined in subparagraph (b) of S 4.1.5.1  of  standard 208 of part 571 of title 49 of the code of federal regulations,  that is designed and installed to be activated in a crash.    2.  Readiness  indicator  light  means  an  indicator  monitoring  the  inflatable restraint  system's  readiness  and  such  light  is  clearly  visible from the driver's designated seating position."
VAT120,"Vehicle and Traffic      120. Intersection.  (a) The area embraced within the prolongation or  connection of the lateral curb lines, or,  if  none,  then  the  lateral  boundary  lines  of  the roadways of two highways which join one another  at, or approximately at, right angles, or the area within which vehicles  traveling upon different highways joining at any other angle may come in  conflict.    (b) Where a highway includes two roadways thirty feet or  more  apart,  then  every  crossing  of  each  roadway  of  such divided highway by an  intersecting highway shall be regarded as a  separate  intersection.  In  the  event  such  intersecting highway also includes two roadways thirty  feet or more apart, then every crossing of two roadways of such highways  shall be regarded as a separate intersection.    (c) A circular intersection contains an island, generally circular  in  design,  located  in the center of the intersection where traffic passes  to the right of the island."
VAT121,Vehicle and Traffic      121. Laned  roadway.    A  roadway which is divided into two or more  clearly marked lanes for vehicular traffic.
VAT121-A,"Vehicle and Traffic      121-a. Limited  use  automobile. A limited use vehicle which, except  for the provisions of article forty-eight-A and section  four  hundred-a  of   this   chapter,  would  be  subject  to  registration  pursuant  to  subdivision six of section four hundred one of this chapter."
VAT121-B,"Vehicle and Traffic      121-b. Limited use motorcycle. A limited use vehicle having only two  or  three  wheels, with a seat or saddle for the operator. A limited use  motorcycle having a maximum performance speed, of more than thirty miles  per hour but not more than forty miles per  hour  shall  be  a  class  A  limited  use  motorcycle.  A  limited  use  motorcycle  having a maximum  performance speed of more than twenty miles per hour but not  more  than  thirty  miles  per  hour,  shall  be a class B limited use motorcycle. A  limited use motorcycle having a maximum performance speed  of  not  more  than twenty miles per hour shall be a class C limited use motorcycle."
VAT121-C,"Vehicle and Traffic      121-c. Limited   use  vehicle.  A  motor  vehicle,  other  than  one  registered or capable of being  registered  pursuant  to  sections  four  hundred  one  or  four  hundred ten of this chapter, which has a maximum  performance speed of not more than forty miles per hour, as  defined  in  section one hundred twenty-two-b of this chapter."
VAT121-D,"Vehicle and Traffic      121-d. Leased  vehicle.  A  vehicle owned by a person engaged in the  business of renting or  leasing  vehicles  which  is  rented  or  leased  without  a  driver  to  a  person other than the owner and is registered  either in the name of the lessee or renter, or in the name of the owner,  in a format prescribed by the commissioner."
VAT121-E,"Vehicle and Traffic      121-e. Livery.  Every  motor vehicle, other than a taxicab or a bus,  used in  the  business  of  transporting  passengers  for  compensation.  However,  it  shall  not  include  vehicles  which  are rented or leased  without a driver."
VAT121-F,"Vehicle and Traffic       121-f.  Low  speed  vehicle.  A  limited use automobile which has a  maximum performance speed of greater than twenty miles an hour, but  not  greater  than  twenty-five  miles an hour or a truck which has a maximum  performance speed of greater than twenty miles an hour, but not  greater  than  twenty-five  miles  an  hour and whose gross vehicle weight rating  (GVWR) is less than three  thousand  pounds.  All  such  vehicles  shall  comply with the safety standards established in 49 C.F.R. 571.500."
VAT122,"Vehicle and Traffic      122. Local  authorities.    Every  county,  municipal or other local  board, body or  officer,  county  park  commission,  parkway  authority,  bridge  authority,  bridge and tunnel authority, the office of parks and  recreation, the New York state thruway  authority  or  similar  body  or  person having authority to enact laws or regulations relating to traffic  under the constitution and laws of this state."
VAT122-A,"Vehicle and Traffic      122-a. Maximum  gross weight. The weight of the vehicle unladen plus  the weight of the maximum load to be carried by such vehicle during  the  registration period or the maximum gross weight for which the vehicle is  registered, whichever is greater."
VAT122-B,"Vehicle and Traffic      122-b. Maximum  performance  speed.  For  the  purposes  of  article  forty-eight-A of this chapter, maximum performance speed  shall  be  the  greatest  speed  which  can  be attained and maintained by a limited use  vehicle under conditions prescribed by the commissioner at the  time  of  its  manufacture,  as  certified  by the manufacturer and filed with and  accepted by the commissioner. The maximum performance speed of a limited  use vehicle shall remain as certified  regardless  of  any  modification  made to such vehicle after such certification."
VAT122-C,"Vehicle and Traffic      122-c. Mobile  home or manufactured home. A structure, transportable  in one or more sections, which in the traveling mode, is eight body feet  or more in width or forty body feet or more in length, or  when  erected  on site, is three hundred twenty or more square feet, and which is built  on  a  permanent  chassis  and designed to be used as a dwelling with or  without a permanent foundation when connected to required utilities, and  includes the plumbing, heating, air-conditioning and electrical  systems  contained therein."
VAT123,"Vehicle and Traffic      123. Motorcycle.    Every  motor vehicle having a seat or saddle for  the use of the rider and designed to  travel  on  not  more  than  three  wheels in contact with the ground, but excluding a tractor."
VAT125,"Vehicle and Traffic      125. Motor  vehicles. Every vehicle operated or driven upon a public  highway which is propelled by  any  power  other  than  muscular  power,  except  (a)  electrically-driven mobility assistance devices operated or  driven by a person with a disability, (a-1) electric personal  assistive  mobility  devices  operated  outside  a  city  with  a population of one  million or more, (b) vehicles which run only upon rails or  tracks,  (c)  snowmobiles  as  defined in article forty-seven of this chapter, and (d)  all terrain  vehicles  as  defined  in  article  forty-eight-B  of  this  chapter.  For the purposes of title four of this chapter, the term motor  vehicle shall exclude fire and police vehicles  other  than  ambulances.  For  the purposes of titles four and five of this chapter the term motor  vehicles shall exclude farm type tractors and all terrain type  vehicles  used  exclusively  for agricultural purposes, or for snow plowing, other  than for hire, farm equipment, including  self-propelled  machines  used  exclusively  in  growing,  harvesting  or  handling  farm  produce,  and  self-propelled  caterpillar  or  crawler-type  equipment   while   being  operated on the contract site."
VAT125-A,"Vehicle and Traffic      125-a. Off-highway   motorcycle.   Off-highway   motorcycle   is   a  motorcycle which is not equipped in conformity with  the  provisions  of  section three hundred eighty-one of this chapter, would not, if properly  equipped, qualify as a limited use motorcycle, and which is manufactured  and sold for operation primarily on off-highway trails or in off-highway  competitions and only incidentally operated on public highways."
